Task ID,Task Name,Task Category,Task Description,Task Check,Task Virtual Reward,Task Real Reward
3821,Education Task 3821: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"171 XP, 21 coins",None
3822,Engineering Task 3822: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"172 XP, 22 coins",None
3823,Education Task 3823: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"173 XP, 23 coins",None
3824,Survival Task 3824: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"174 XP, 24 coins",None
3825,Social Task 3825: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"100 XP, 25 coins",None
3826,Creative Task 3826: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"101 XP, 26 coins",None
3827,Education Task 3827: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"102 XP, 27 coins",None
3828,Innovation Task 3828: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"103 XP, 28 coins",None
3829,Innovation Task 3829: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"104 XP, 29 coins",None
3830,Creative Task 3830: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"105 XP, 20 coins",None
3831,Fitness Task 3831: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"106 XP, 21 coins",None
3832,Engineering Task 3832: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"107 XP, 22 coins",None
3833,Education Task 3833: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"108 XP, 23 coins",None
3834,Social Task 3834: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"109 XP, 24 coins",None
3835,Fitness Task 3835: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"110 XP, 25 coins",None
3836,Innovation Task 3836: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"111 XP, 26 coins",None
3837,Engineering Task 3837: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"112 XP, 27 coins",None
3838,Governance Task 3838: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"113 XP, 28 coins",None
3839,Spiritual Task 3839: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"114 XP, 29 coins",None
3840,Innovation Task 3840: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"115 XP, 20 coins","Exclusive knowledge, priority access to research"
3841,Creative Task 3841: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"116 XP, 21 coins",None
3842,Education Task 3842: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"117 XP, 22 coins",None
3843,Creative Task 3843: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"118 XP, 23 coins",None
3844,Exploration Task 3844: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"119 XP, 24 coins",None
3845,Survival Task 3845: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"120 XP, 25 coins",None
3846,Survival Task 3846: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"121 XP, 26 coins",None
3847,Governance Task 3847: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"122 XP, 27 coins",None
3848,Governance Task 3848: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"123 XP, 28 coins",None
3849,Creative Task 3849: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"124 XP, 29 coins",None
3850,Survival Task 3850: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"125 XP, 20 coins",None
3851,Fitness Task 3851: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"126 XP, 21 coins",None
3852,Exploration Task 3852: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"127 XP, 22 coins",None
3853,Survival Task 3853: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"128 XP, 23 coins",None
3854,Spiritual Task 3854: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"129 XP, 24 coins",None
3855,Exploration Task 3855: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"130 XP, 25 coins",None
3856,Social Task 3856: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"131 XP, 26 coins",None
3857,Education Task 3857: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"132 XP, 27 coins",None
3858,Survival Task 3858: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"133 XP, 28 coins",None
3859,Engineering Task 3859: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"134 XP, 29 coins",None
3860,Innovation Task 3860: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"135 XP, 20 coins","Exclusive knowledge, priority access to research"
3861,Survival Task 3861: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"136 XP, 21 coins",None
3862,Survival Task 3862: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"137 XP, 22 coins",None
3863,Education Task 3863: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"138 XP, 23 coins",None
3864,Engineering Task 3864: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"139 XP, 24 coins",None
3865,Creative Task 3865: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"140 XP, 25 coins",None
3866,Survival Task 3866: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"141 XP, 26 coins",None
3867,Social Task 3867: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"142 XP, 27 coins",None
3868,Survival Task 3868: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"143 XP, 28 coins",None
3869,Fitness Task 3869: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"144 XP, 29 coins",None
3870,Engineering Task 3870: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"145 XP, 20 coins",None
3871,Education Task 3871: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"146 XP, 21 coins",None
3872,Spiritual Task 3872: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"147 XP, 22 coins",None
3873,Spiritual Task 3873: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"148 XP, 23 coins",None
3874,Spiritual Task 3874: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"149 XP, 24 coins",None
3875,Exploration Task 3875: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"150 XP, 25 coins",None
3876,Fitness Task 3876: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"151 XP, 26 coins",None
3877,Fitness Task 3877: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"152 XP, 27 coins",None
3878,Social Task 3878: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"153 XP, 28 coins",None
3879,Social Task 3879: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"154 XP, 29 coins",None
3880,Innovation Task 3880: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"155 XP, 20 coins","Exclusive knowledge, priority access to research"
3881,Social Task 3881: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"156 XP, 21 coins",None
3882,Social Task 3882: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"157 XP, 22 coins",None
3883,Spiritual Task 3883: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"158 XP, 23 coins",None
3884,Governance Task 3884: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"159 XP, 24 coins",None
3885,Spiritual Task 3885: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"160 XP, 25 coins",None
3886,Education Task 3886: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"161 XP, 26 coins",None
3887,Engineering Task 3887: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"162 XP, 27 coins",None
3888,Innovation Task 3888: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"163 XP, 28 coins",None
3889,Social Task 3889: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"164 XP, 29 coins",None
3890,Innovation Task 3890: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"165 XP, 20 coins",None
3891,Governance Task 3891: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"166 XP, 21 coins",None
3892,Social Task 3892: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"167 XP, 22 coins",None
3893,Innovation Task 3893: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"168 XP, 23 coins",None
3894,Survival Task 3894: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"169 XP, 24 coins",None
3895,Education Task 3895: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"170 XP, 25 coins",None
3896,Engineering Task 3896: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"171 XP, 26 coins",None
3897,Spiritual Task 3897: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"172 XP, 27 coins",None
3898,Creative Task 3898: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"173 XP, 28 coins",None
3899,Fitness Task 3899: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"174 XP, 29 coins",None
3900,Fitness Task 3900: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"100 XP, 20 coins","Exclusive knowledge, priority access to research"
3901,Social Task 3901: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"101 XP, 21 coins",None
3902,Survival Task 3902: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"102 XP, 22 coins",None
3903,Survival Task 3903: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"103 XP, 23 coins",None
3904,Innovation Task 3904: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"104 XP, 24 coins",None
3905,Creative Task 3905: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"105 XP, 25 coins",None
3906,Social Task 3906: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"106 XP, 26 coins",None
3907,Fitness Task 3907: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"107 XP, 27 coins",None
3908,Survival Task 3908: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"108 XP, 28 coins",None
3909,Innovation Task 3909: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"109 XP, 29 coins",None
3910,Survival Task 3910: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"110 XP, 20 coins",None
3911,Survival Task 3911: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"111 XP, 21 coins",None
3912,Innovation Task 3912: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"112 XP, 22 coins",None
3913,Education Task 3913: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"113 XP, 23 coins",None
3914,Exploration Task 3914: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"114 XP, 24 coins",None
3915,Survival Task 3915: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"115 XP, 25 coins",None
3916,Exploration Task 3916: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"116 XP, 26 coins",None
3917,Innovation Task 3917: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"117 XP, 27 coins",None
3918,Fitness Task 3918: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"118 XP, 28 coins",None
3919,Survival Task 3919: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"119 XP, 29 coins",None
3920,Creative Task 3920: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"120 XP, 20 coins","Exclusive knowledge, priority access to research"
3921,Spiritual Task 3921: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"121 XP, 21 coins",None
3922,Engineering Task 3922: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"122 XP, 22 coins",None
3923,Engineering Task 3923: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"123 XP, 23 coins",None
3924,Creative Task 3924: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"124 XP, 24 coins",None
3925,Exploration Task 3925: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"125 XP, 25 coins",None
3926,Exploration Task 3926: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"126 XP, 26 coins",None
3927,Social Task 3927: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"127 XP, 27 coins",None
3928,Social Task 3928: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"128 XP, 28 coins",None
3929,Innovation Task 3929: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"129 XP, 29 coins",None
3930,Spiritual Task 3930: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"130 XP, 20 coins",None
3931,Governance Task 3931: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"131 XP, 21 coins",None
3932,Governance Task 3932: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"132 XP, 22 coins",None
3933,Exploration Task 3933: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"133 XP, 23 coins",None
3934,Fitness Task 3934: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"134 XP, 24 coins",None
3935,Education Task 3935: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"135 XP, 25 coins",None
3936,Exploration Task 3936: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"136 XP, 26 coins",None
3937,Spiritual Task 3937: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"137 XP, 27 coins",None
3938,Survival Task 3938: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"138 XP, 28 coins",None
3939,Spiritual Task 3939: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"139 XP, 29 coins",None
3940,Innovation Task 3940: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"140 XP, 20 coins","Exclusive knowledge, priority access to research"
3941,Fitness Task 3941: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"141 XP, 21 coins",None
3942,Education Task 3942: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"142 XP, 22 coins",None
3943,Engineering Task 3943: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"143 XP, 23 coins",None
3944,Fitness Task 3944: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"144 XP, 24 coins",None
3945,Engineering Task 3945: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"145 XP, 25 coins",None
3946,Social Task 3946: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"146 XP, 26 coins",None
3947,Survival Task 3947: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"147 XP, 27 coins",None
3948,Engineering Task 3948: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"148 XP, 28 coins",None
3949,Exploration Task 3949: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"149 XP, 29 coins",None
3950,Governance Task 3950: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"150 XP, 20 coins",None
3951,Creative Task 3951: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"151 XP, 21 coins",None
3952,Exploration Task 3952: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"152 XP, 22 coins",None
3953,Survival Task 3953: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"153 XP, 23 coins",None
3954,Innovation Task 3954: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"154 XP, 24 coins",None
3955,Survival Task 3955: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"155 XP, 25 coins",None
3956,Creative Task 3956: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"156 XP, 26 coins",None
3957,Survival Task 3957: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"157 XP, 27 coins",None
3958,Survival Task 3958: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"158 XP, 28 coins",None
3959,Social Task 3959: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"159 XP, 29 coins",None
3960,Survival Task 3960: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"160 XP, 20 coins","Exclusive knowledge, priority access to research"
3961,Innovation Task 3961: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"161 XP, 21 coins",None
3962,Fitness Task 3962: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"162 XP, 22 coins",None
3963,Social Task 3963: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"163 XP, 23 coins",None
3964,Exploration Task 3964: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"164 XP, 24 coins",None
3965,Innovation Task 3965: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"165 XP, 25 coins",None
3966,Exploration Task 3966: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"166 XP, 26 coins",None
3967,Governance Task 3967: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"167 XP, 27 coins",None
3968,Fitness Task 3968: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"168 XP, 28 coins",None
3969,Innovation Task 3969: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"169 XP, 29 coins",None
3970,Engineering Task 3970: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"170 XP, 20 coins",None
3971,Spiritual Task 3971: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"171 XP, 21 coins",None
3972,Exploration Task 3972: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"172 XP, 22 coins",None
3973,Governance Task 3973: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"173 XP, 23 coins",None
3974,Innovation Task 3974: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"174 XP, 24 coins",None
3975,Spiritual Task 3975: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"100 XP, 25 coins",None
3976,Education Task 3976: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"101 XP, 26 coins",None
3977,Fitness Task 3977: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"102 XP, 27 coins",None
3978,Engineering Task 3978: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"103 XP, 28 coins",None
3979,Social Task 3979: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"104 XP, 29 coins",None
3980,Governance Task 3980: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"105 XP, 20 coins","Exclusive knowledge, priority access to research"
3981,Creative Task 3981: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"106 XP, 21 coins",None
3982,Engineering Task 3982: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"107 XP, 22 coins",None
3983,Creative Task 3983: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"108 XP, 23 coins",None
3984,Engineering Task 3984: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"109 XP, 24 coins",None
3985,Social Task 3985: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"110 XP, 25 coins",None
3986,Innovation Task 3986: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"111 XP, 26 coins",None
3987,Fitness Task 3987: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"112 XP, 27 coins",None
3988,Governance Task 3988: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"113 XP, 28 coins",None
3989,Spiritual Task 3989: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"114 XP, 29 coins",None
3990,Fitness Task 3990: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"115 XP, 20 coins",None
3991,Education Task 3991: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"116 XP, 21 coins",None
3992,Creative Task 3992: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"117 XP, 22 coins",None
3993,Creative Task 3993: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"118 XP, 23 coins",None
3994,Education Task 3994: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"119 XP, 24 coins",None
3995,Survival Task 3995: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"120 XP, 25 coins",None
3996,Exploration Task 3996: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"121 XP, 26 coins",None
3997,Innovation Task 3997: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"122 XP, 27 coins",None
3998,Engineering Task 3998: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"123 XP, 28 coins",None
3999,Engineering Task 3999: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"124 XP, 29 coins",None
4000,Education Task 4000: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"125 XP, 20 coins","Exclusive knowledge, priority access to research"
4001,Governance Task 4001: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"126 XP, 21 coins",None
4002,Survival Task 4002: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"127 XP, 22 coins",None
4003,Innovation Task 4003: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"128 XP, 23 coins",None
4004,Social Task 4004: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"129 XP, 24 coins",None
4005,Innovation Task 4005: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"130 XP, 25 coins",None
4006,Education Task 4006: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"131 XP, 26 coins",None
